gene,NPC_prevalence,OPC_prevalence,AC_prevalence,MES_prevalence,SRI,worst_state,state_imbalance,wang_NPC,wang_OPC,wang_AC,wang_MES,wang_SRI,wang_worst_state,neftel_cat,wang_cat
CHD7,0.474,0.524,0.429,0.381,0.381,MES,0.143,0.909,0.818,0.864,0.773,0.773,MES,low,high
LRP1B,0.053,0.048,0.048,0.0,0.0,MES,0.053,0.227,0.364,0.318,0.045,0.045,MES,low,low
PRKD1,0.105,0.143,0.238,0.048,0.048,MES,0.19,0.182,0.273,0.318,0.136,0.136,MES,low,low
DIS3,0.421,0.476,0.286,0.333,0.286,AC,0.19,0.727,0.818,0.773,0.818,0.727,NPC,low,high
ITPR3,0.0,0.048,0.0,0.0,0.0,NPC,0.048,0.0,0.0,0.0,0.0,0.0,NPC,low,low
SPATA5,0.105,0.143,0.0,0.048,0.0,AC,0.143,0.364,0.364,0.273,0.136,0.136,MES,low,low
MDN1,0.105,0.048,0.048,0.048,0.048,OPC,0.058,0.409,0.545,0.455,0.455,0.409,NPC,low,moderate
WSB1,0.895,0.905,0.905,0.905,0.895,NPC,0.01,0.955,0.864,1.0,0.955,0.864,OPC,high,high
NR1H3,0.053,0.0,0.095,0.143,0.0,OPC,0.143,0.0,0.091,0.045,0.091,0.0,NPC,low,low
NFKB1,0.053,0.143,0.381,0.476,0.053,NPC,0.424,0.5,0.591,0.545,0.727,0.5,NPC,low,moderate
ZCCHC14,0.105,0.095,0.095,0.095,0.095,OPC,0.01,0.5,0.682,0.5,0.409,0.409,MES,low,moderate
RBBP6,0.632,0.571,0.571,0.571,0.571,OPC,0.06,0.909,0.864,0.909,0.864,0.864,OPC,moderate,high
CROCC,0.158,0.048,0.0,0.0,0.0,AC,0.158,0.0,0.0,0.045,0.0,0.0,NPC,low,low
PANK2,0.632,0.429,0.429,0.524,0.429,OPC,0.203,0.773,0.682,0.818,0.727,0.682,OPC,moderate,moderate
SPEG,0.263,0.095,0.333,0.048,0.048,MES,0.286,0.182,0.136,0.455,0.227,0.136,OPC,low,low
TMCO3,0.526,0.381,0.333,0.381,0.333,AC,0.193,0.591,0.818,0.727,0.727,0.591,NPC,low,moderate
HECW1,0.211,0.0,0.0,0.0,0.0,OPC,0.211,0.045,0.045,0.0,0.0,0.0,AC,low,low
FAM186A,0.0,0.0,0.0,0.0,0.0,NPC,0.0,0.0,0.0,0.0,0.0,0.0,NPC,low,low
RAB37,0.0,0.0,0.0,0.0,0.0,NPC,0.0,0.0,0.0,0.0,0.045,0.0,NPC,low,low
GIMAP8,0.0,0.0,0.0,0.048,0.0,NPC,0.048,0.0,0.0,0.045,0.091,0.0,NPC,low,low
PSG2,0.0,0.0,0.0,0.0,0.0,NPC,0.0,0.0,0.0,0.0,0.0,0.0,NPC,low,low
HSPBP1,0.579,0.524,0.571,0.476,0.476,MES,0.103,0.682,0.773,0.727,0.682,0.682,NPC,moderate,moderate
MYBPC1,0.053,0.143,0.381,0.0,0.0,MES,0.381,0.182,0.364,0.591,0.318,0.182,NPC,low,low
SALL3,0.158,0.286,0.095,0.0,0.0,MES,0.286,0.455,0.727,0.636,0.182,0.182,MES,low,low
USP42,0.368,0.333,0.286,0.238,0.238,MES,0.13,0.455,0.682,0.591,0.5,0.455,NPC,low,moderate
PRKDC,0.526,0.524,0.524,0.619,0.524,OPC,0.095,0.864,0.818,0.818,0.909,0.818,OPC,moderate,high
FOXJ3,0.316,0.333,0.286,0.238,0.238,MES,0.095,0.773,0.818,0.818,0.773,0.773,NPC,low,high
ZC3H7A,0.316,0.476,0.333,0.381,0.316,NPC,0.16,0.818,0.818,0.818,0.818,0.818,NPC,low,high
CLSTN3,0.211,0.048,0.095,0.048,0.048,OPC,0.163,0.136,0.136,0.136,0.136,0.136,NPC,low,low
ZNF440,0.053,0.048,0.048,0.048,0.048,OPC,0.005,0.045,0.091,0.0,0.0,0.0,AC,low,low
ATXN1,0.474,0.381,0.381,0.381,0.381,OPC,0.093,0.773,0.818,0.773,0.818,0.773,NPC,low,high
MPV17,0.526,0.81,0.81,0.714,0.526,NPC,0.283,0.727,0.864,0.818,0.727,0.727,NPC,moderate,high
STK24,0.158,0.095,0.238,0.524,0.095,OPC,0.429,0.591,0.636,0.636,0.773,0.591,NPC,low,moderate
PYGL,0.263,0.19,0.524,0.571,0.19,OPC,0.381,0.364,0.5,0.636,0.5,0.364,NPC,low,low
ZBTB21,0.0,0.095,0.048,0.095,0.0,NPC,0.095,0.364,0.5,0.545,0.591,0.364,NPC,low,low
SERPINA5,0.0,0.048,0.0,0.0,0.0,NPC,0.048,0.0,0.0,0.0,0.045,0.0,NPC,low,low
ZFC3H1,0.316,0.286,0.333,0.333,0.286,OPC,0.048,0.864,0.818,0.864,0.818,0.818,OPC,low,high
NR1H2,0.474,0.571,0.571,0.714,0.474,NPC,0.241,0.773,0.773,0.773,0.773,0.773,NPC,moderate,high
SEMA3A,0.158,0.095,0.095,0.048,0.048,MES,0.11,0.091,0.182,0.318,0.227,0.091,NPC,low,low
ZNF528,0.368,0.333,0.19,0.048,0.048,MES,0.321,0.545,0.682,0.636,0.682,0.545,NPC,low,moderate
PTEN,0.474,0.286,0.476,0.476,0.286,OPC,0.19,0.636,0.818,0.864,0.818,0.636,NPC,low,moderate
PGM5,0.0,0.095,0.095,0.0,0.0,NPC,0.095,0.136,0.091,0.136,0.182,0.091,OPC,low,low
RIMBP2,0.0,0.0,0.0,0.0,0.0,NPC,0.0,0.0,0.0,0.0,0.0,0.0,NPC,low,low
KIF27,0.0,0.048,0.0,0.0,0.0,NPC,0.048,0.045,0.045,0.136,0.091,0.045,NPC,low,low
GRM8,0.0,0.0,0.0,0.0,0.0,NPC,0.0,0.0,0.0,0.0,0.091,0.0,NPC,low,low
ASPM,0.053,0.286,0.048,0.095,0.048,AC,0.238,0.455,0.545,0.273,0.273,0.273,AC,low,low
BTBD3,0.158,0.333,0.238,0.048,0.048,MES,0.286,0.5,0.818,0.773,0.682,0.5,NPC,low,moderate
NFASC,0.263,0.571,0.333,0.048,0.048,MES,0.524,0.455,0.545,0.636,0.545,0.455,NPC,low,moderate
ACTR1B,0.474,0.476,0.381,0.619,0.381,AC,0.238,0.545,0.773,0.636,0.727,0.545,NPC,low,moderate
PLAGL1,0.053,0.0,0.095,0.095,0.0,OPC,0.095,0.091,0.136,0.227,0.364,0.091,NPC,low,low
MPO,0.0,0.0,0.0,0.0,0.0,NPC,0.0,0.0,0.0,0.0,0.0,0.0,NPC,low,low
RGS18,0.105,0.0,0.286,0.381,0.0,OPC,0.381,0.136,0.0,0.0,0.045,0.0,OPC,low,low
ITGAM,0.053,0.0,0.381,0.476,0.0,OPC,0.476,0.045,0.045,0.045,0.0,0.0,MES,low,low
SPATA6L,0.053,0.0,0.0,0.0,0.0,OPC,0.053,0.0,0.045,0.0,0.0,0.0,NPC,low,low
KCNK6,0.105,0.048,0.143,0.19,0.048,OPC,0.143,0.136,0.091,0.045,0.091,0.045,AC,low,low
MATN4,0.0,0.0,0.0,0.0,0.0,NPC,0.0,0.045,0.045,0.045,0.0,0.0,MES,low,low
AHI1,0.526,0.571,0.429,0.381,0.381,MES,0.19,0.818,0.864,0.818,0.773,0.773,MES,low,high
CALM3,0.684,0.905,0.857,0.905,0.684,NPC,0.221,0.773,0.909,0.955,0.864,0.773,NPC,moderate,high
CDCP1,0.053,0.0,0.0,0.238,0.0,OPC,0.238,0.0,0.0,0.0,0.091,0.0,NPC,low,low
DPP8,0.368,0.429,0.333,0.381,0.333,AC,0.095,0.682,0.864,0.773,0.773,0.682,NPC,low,moderate
DPY19L2,0.0,0.048,0.0,0.0,0.0,NPC,0.048,0.045,0.045,0.045,0.0,0.0,MES,low,low
FAT1,0.053,0.238,0.143,0.048,0.048,MES,0.19,0.364,0.818,0.727,0.682,0.364,NPC,low,low
KCTD8,0.053,0.048,0.0,0.0,0.0,AC,0.053,0.0,0.136,0.045,0.0,0.0,NPC,low,low
NOTCH1,0.263,0.381,0.286,0.143,0.143,MES,0.238,0.591,0.773,0.818,0.727,0.591,NPC,low,moderate
NPHP3,0.316,0.333,0.238,0.095,0.095,MES,0.238,0.591,0.545,0.545,0.773,0.545,OPC,low,moderate
RNF217,0.053,0.048,0.095,0.143,0.048,OPC,0.095,0.182,0.136,0.182,0.455,0.136,OPC,low,low
SORL1,0.158,0.429,0.619,0.762,0.158,NPC,0.604,0.636,0.727,0.955,0.591,0.591,MES,low,moderate
SUPV3L1,0.263,0.238,0.095,0.19,0.095,AC,0.168,0.273,0.318,0.273,0.136,0.136,MES,low,low
BTBD8,0.0,0.048,0.0,0.0,0.0,NPC,0.048,0.273,0.227,0.182,0.0,0.0,MES,low,low
PLXNA2,0.158,0.143,0.19,0.0,0.0,MES,0.19,0.273,0.273,0.273,0.227,0.227,MES,low,low
MYO7B,0.0,0.0,0.0,0.0,0.0,NPC,0.0,0.0,0.0,0.0,0.0,0.0,NPC,low,low
PIK3CB,0.105,0.19,0.19,0.19,0.105,NPC,0.085,0.364,0.5,0.5,0.318,0.318,MES,low,low
ANTXR2,0.158,0.19,0.143,0.19,0.143,AC,0.048,0.227,0.318,0.182,0.5,0.182,AC,low,low
NPNT,0.053,0.143,0.19,0.0,0.0,MES,0.19,0.136,0.409,0.455,0.227,0.136,NPC,low,low
RAD1,0.632,0.429,0.381,0.524,0.381,AC,0.251,0.682,0.545,0.5,0.636,0.5,AC,low,moderate
P4HA2,0.105,0.0,0.095,0.286,0.0,OPC,0.286,0.091,0.0,0.136,0.455,0.0,OPC,low,low
CAP2,0.316,0.238,0.238,0.0,0.0,MES,0.316,0.364,0.409,0.545,0.318,0.318,MES,low,low
EGFR,0.474,0.619,0.524,0.333,0.333,MES,0.286,0.455,0.5,0.636,0.545,0.455,NPC,low,moderate
CNTNAP2,0.105,0.0,0.143,0.0,0.0,OPC,0.143,0.045,0.136,0.0,0.0,0.0,AC,low,low
TOLLIP,0.526,0.524,0.524,0.524,0.524,OPC,0.003,0.545,0.773,0.773,0.773,0.545,NPC,moderate,moderate
TECTA,0.0,0.0,0.0,0.0,0.0,NPC,0.0,0.0,0.0,0.0,0.0,0.0,NPC,low,low
TMEM52B,0.053,0.0,0.238,0.286,0.0,OPC,0.286,0.091,0.0,0.0,0.0,0.0,OPC,low,low
PCSK6,0.0,0.095,0.0,0.0,0.0,NPC,0.095,0.045,0.182,0.045,0.045,0.045,NPC,low,low
CLEC19A,0.0,0.0,0.0,0.0,0.0,NPC,0.0,0.045,0.0,0.0,0.0,0.0,OPC,low,low
SHPK,0.0,0.0,0.0,0.0,0.0,NPC,0.0,0.0,0.0,0.0,0.0,0.0,NPC,low,low
SRCIN1,0.0,0.19,0.0,0.0,0.0,NPC,0.19,0.182,0.318,0.182,0.0,0.0,MES,low,low
ST6GALNAC1,0.0,0.0,0.0,0.0,0.0,NPC,0.0,0.0,0.0,0.0,0.045,0.0,NPC,low,low
BSG,0.789,0.952,0.952,1.0,0.789,NPC,0.211,0.864,0.864,1.0,0.955,0.864,NPC,high,high
PTPRA,0.526,0.476,0.571,0.524,0.476,OPC,0.095,0.864,0.818,0.818,0.864,0.818,OPC,moderate,high
SLC4A11,0.0,0.048,0.048,0.0,0.0,NPC,0.048,0.0,0.0,0.0,0.0,0.0,NPC,low,low
KLHL22,0.263,0.381,0.19,0.048,0.048,MES,0.333,0.136,0.318,0.182,0.091,0.091,MES,low,low
MYH9,0.105,0.429,0.524,0.714,0.105,NPC,0.609,0.455,0.636,0.864,0.864,0.455,NPC,low,moderate
INTS2,0.053,0.048,0.048,0.048,0.048,OPC,0.005,0.227,0.364,0.318,0.227,0.227,NPC,low,low
STPG1,0.053,0.0,0.0,0.0,0.0,OPC,0.053,0.0,0.091,0.091,0.045,0.0,NPC,low,low
LAMB3,0.105,0.0,0.0,0.0,0.0,OPC,0.105,0.0,0.091,0.0,0.0,0.0,NPC,low,low
SOCS5,0.105,0.143,0.095,0.095,0.095,AC,0.048,0.409,0.545,0.455,0.545,0.409,NPC,low,moderate
